Wall time,Step,Value
1654395144.7971864,134739,40.0
1654395153.4241364,135135,104.0
1654395177.039118,136224,90.0
1654395179.1937175,136323,86.0
1654395187.6761227,136719,140.0
1654395200.8502414,137313,78.0
1654395209.5071979,137709,122.0
1654395215.8869162,138006,42.0
1654395265.5865624,140382,64.0
1654395306.2130842,142263,86.0
1654395310.546851,142461,90.0
1654395312.6892831,142560,86.0
1654395314.8360705,142659,56.0
1654395334.2221272,143550,32.0
1654395351.3806183,144342,108.0
1654395353.5340788,144441,104.0
1654395357.7857854,144639,74.0
1654395359.917797,144738,114.0
1654395387.618784,146025,80.0
1654395392.0997183,146223,86.0
1654395415.5351667,147312,158.0
1654395421.9969664,147609,152.0
1654395430.667254,148005,152.0
1654395439.84542,148401,46.0
1654395446.7360592,148797,92.0
1654395461.8364844,149490,80.0
1654395463.9975574,149589,138.0
1654395470.4248207,149886,-6.0
1654395476.9337034,150183,58.0
1654395502.8354564,151371,196.0
1654395515.7922497,151965,64.0
1654395522.6569357,152262,76.0
1654395524.9000547,152361,152.0
1654395546.5299623,153351,106.0
1654395553.0515604,153648,124.0
1654395576.4878447,154737,92.0
1654395582.8992288,155034,144.0
1654395589.2961667,155331,94.0
1654395599.8406813,155826,176.0
1654395606.2201767,156123,56.0
1654395625.3764646,157014,162.0
1654395648.8390043,158103,38.0
1654395657.718871,158598,144.0
1654395661.9291708,158796,44.0
1654395713.0583012,161172,128.0
1654395730.2457106,161964,126.0
1654395734.5270412,162162,194.0
1654395740.9763918,162459,94.0
1654395753.7990708,163053,170.0
1654395755.9282253,163152,218.0
1654395770.9779727,163845,132.0
1654395787.9091766,164637,54.0
1654395796.3745358,165033,118.0
1654395804.8771782,165429,96.0
1654395813.3301568,165825,138.0
1654395819.7501917,166122,90.0
1654395824.1323407,166320,24.0
1654395836.8945663,166914,108.0
1654395856.2222195,167805,142.0
1654395871.5636973,168597,176.0
1654395875.791389,168795,148.0
1654395882.2605283,169092,88.0
1654395886.5311186,169290,152.0
1654395888.621329,169389,124.0
1654395890.7846584,169488,102.0
1654395905.7007945,170181,116.0
1654395914.2164636,170577,156.0
1654395916.3297682,170676,106.0
1654395931.2549646,171369,170.0
1654395950.4863474,172260,106.0
1654395959.2716377,172656,126.0
1654395963.7047715,172854,172.0
1654395983.2866776,173745,132.0
1654396006.9191358,174834,134.0
1654396028.348439,175824,200.0
1654396032.6565876,176022,200.0
1654396047.4596558,176715,138.0
1654396049.5626264,176814,162.0
1654396057.9346323,177210,144.0
1654396064.361518,177507,210.0
1654396079.6587555,178299,124.0
1654396120.4794207,180180,162.0
1654396129.0417364,180576,164.0
1654396144.0988138,181269,184.0
1654396156.9106336,181863,112.0
1654396161.1375656,182061,178.0
1654396180.31934,182952,162.0
1654396188.8633015,183348,202.0
1654396208.1352155,184239,182.0
1654396218.9303167,184734,162.0
1654396221.0654354,184833,178.0
1654396223.2089763,184932,162.0
1654396257.4438078,186516,194.0
1654396268.1567478,187011,138.0
1654396283.1167028,187704,176.0
1654396289.9658897,188100,138.0
1654396296.3939962,188397,182.0
1654396309.246687,188991,134.0
1654396311.4003446,189090,162.0
1654396319.9771893,189486,234.0
1654396330.8217285,189981,190.0
1654396343.7030542,190575,166.0
1654396345.842376,190674,214.0
1654396369.5881252,191763,72.0
1654396378.1357918,192159,174.0
1654396380.2376058,192258,254.0
1654396388.7492146,192654,214.0
1654396393.1378598,192852,214.0
1654396405.9354134,193446,128.0
1654396412.326091,193743,178.0
1654396420.8677282,194139,206.0
1654396423.0109363,194238,206.0
1654396427.2832568,194436,162.0
1654396429.3922257,194535,106.0
1654396433.626688,194733,150.0
1654396457.107522,195822,146.0
1654396461.3812354,196020,162.0
1654396478.4616668,196812,210.0
1654396480.608289,196911,162.0
1654396486.9944615,197208,176.0
1654396560.0553246,200673,162.0
1654396581.5164857,201663,146.0
1654396605.05354,202752,204.0
1654396619.9728234,203445,86.0
1654396622.0938354,203544,162.0
1654396647.7058623,204732,162.0
1654396654.1322258,205029,112.0
1654396673.110139,205920,162.0
1654396694.4785755,206910,162.0
1654396711.4756804,207702,196.0
1654396716.179494,207999,210.0
1654396722.522052,208296,228.0
1654396735.3565037,208890,162.0
1654396746.0615704,209385,236.0
1654396748.198389,209484,196.0
1654396756.866143,209880,206.0
1654396758.9909172,209979,190.0
1654396773.8630683,210672,196.0
1654396793.1466973,211563,204.0
1654396799.5028782,211860,84.0
1654396841.9744554,213840,206.0
1654396863.403521,214830,238.0
1654396901.617252,216612,156.0
1654396916.4604163,217305,156.0
1654396929.67951,217998,200.0
1654396946.8289847,218790,214.0
1654396951.110354,218988,144.0
1654396959.638909,219384,188.0
1654396972.4293709,219978,214.0
1654396980.9769025,220374,198.0
1654397004.488868,221463,214.0
1654397010.9220135,221760,162.0
1654397021.6337156,222255,142.0
1654397049.2804737,223542,256.0
1654397100.7385063,225918,264.0
1654397140.0051043,227799,264.0
1654397150.6402998,228294,264.0
1654397152.7997549,228393,108.0
1654397174.0950987,229383,264.0
1654397180.5086665,229680,264.0
1654397191.1997967,230175,264.0
1654397208.505755,230967,264.0
1654397214.9277518,231264,214.0
1654397229.7972906,231957,214.0
1654397251.1075773,232947,264.0
1654397266.0563972,233640,264.0
1654397296.0974073,235026,264.0
1654397330.2013724,236610,264.0
1654397338.7660797,237006,264.0
1654397340.878272,237105,264.0
1654397347.2988222,237402,264.0
1654397349.4674695,237501,264.0
1654397411.7415962,240471,264.0
1654397418.0711844,240768,264.0
1654397426.574532,241164,208.0
1654397428.7035317,241263,214.0
1654397439.587412,241758,214.0
1654397441.7341962,241857,264.0
1654397467.3127372,243045,264.0
1654397484.4206915,243837,264.0
1654397488.6508062,244035,264.0
1654397490.7679744,244134,264.0
1654397533.7155688,246114,264.0
1654397550.7853258,246906,264.0
1654397561.390452,247401,214.0
1654397563.9352558,247599,264.0
1654397570.3032708,247896,264.0
1654397574.5792344,248094,264.0
1654397576.6833777,248193,264.0
1654397600.205037,249282,264.0
1654397602.33498,249381,264.0
1654397604.4662573,249480,264.0
1654397608.7542331,249678,264.0
1654397613.040223,249876,264.0
