time,Step,Reward
1654393508.8311782,61677,11.74954605102539
1654393511.052795,61776,10.51719856262207
1654393517.8103542,62073,10.988117218017578
1654393522.2705555,62271,5.60208797454834
1654393524.5256102,62370,11.643424034118652
1654393533.4439628,62766,12.814858436584473
1654393542.4739518,63162,12.110616683959961
1654393549.1634426,63459,10.649055480957031
1654393551.3692987,63558,10.39771556854248
1654393553.6298344,63657,12.712719917297363
1654393555.8916447,63756,7.9947404861450195
1654393558.1255424,63855,10.19701099395752
1654393569.387741,64350,7.503406047821045
1654393573.887375,64548,9.646326065063477
1654393576.109674,64647,14.428650856018066
1654393578.425069,64746,9.229846954345703
1654393580.6795158,64845,13.328226089477539
1654393582.8978653,64944,9.566363334655762
1654393589.694845,65241,10.937657356262207
1654393594.1509461,65439,9.391880989074707
1654393610.9662826,66132,9.43122386932373
1654393617.9191797,66429,14.830333709716797
1654393629.2160263,66924,7.7358880043029785
1654393631.4373002,67023,9.33802318572998
1654393633.6704273,67122,10.34127426147461
1654393640.3432317,67419,10.265954971313477
1654393644.834249,67617,13.908318519592285
1654393647.0860384,67716,14.33858585357666
1654393649.3440833,67815,6.304755210876465
1654393656.1990116,68112,10.551061630249023
1654393668.6153803,68607,7.8836188316345215
1654393673.2598207,68805,11.176708221435547
1654393677.7684042,69003,11.025338172912598
1654393679.9808335,69102,6.553112030029297
1654393682.6431293,69300,13.213150024414062
1654393689.4822915,69597,13.344159126281738
1654393691.780642,69696,9.014632225036621
1654393696.4932678,69894,14.104974746704102
1654393705.8552525,70290,8.771629333496094
1654393708.1171706,70389,7.923368453979492
1654393712.6552927,70587,10.065407752990723
1654393719.3814366,70884,11.793096542358398
1654393723.857035,71082,11.225977897644043
1654393730.558615,71379,8.838576316833496
1654393732.881257,71478,10.339993476867676
1654393737.3316994,71676,9.65855884552002
1654393741.7838092,71874,9.227714538574219
1654393744.0288627,71973,11.387455940246582
1654393748.4945447,72171,6.221421718597412
1654393750.721876,72270,14.08316421508789
1654393755.2253013,72468,10.743928909301758
1654393757.4464657,72567,8.224371910095215
1654393759.6875198,72666,15.64037799835205
1654393770.928385,73161,16.678264617919922
1654393781.2097006,73557,10.738171577453613
1654393784.4678335,73656,6.421422481536865
1654393786.8418705,73755,12.389640808105469
1654393814.2200897,74943,10.444540023803711
1654393818.6894472,75141,16.680997848510742
1654393832.0920696,75735,12.410886764526367
1654393834.3141572,75834,11.05447769165039
1654393842.5780733,76131,10.822264671325684
1654393844.9492042,76230,10.766807556152344
1654393852.1868222,76527,11.752067565917969
1654393860.6198652,76824,12.106658935546875
1654393862.8207684,76923,10.169081687927246
1654393867.561069,77121,7.621421813964844
1654393869.9590623,77220,13.064549446105957
1654393872.4559383,77319,10.095016479492188
1654393874.746651,77418,13.232440948486328
1654393877.0508802,77517,11.253324508666992
1654393890.993195,78111,12.851617813110352
1654393898.1292512,78408,4.7127180099487305
1654393928.277632,79695,12.814470291137695
1654393930.4476206,79794,10.095585823059082
1654393932.7094603,79893,10.234640121459961
1654393934.8973722,79992,8.010002136230469
