Wall time,Step,Value
1653775357.3327913,5523,56.0
1653775375.8079443,5545,56.0
1653775394.9974382,5567,56.0
1653775426.61874,5604,140.0
1653775459.4998934,5643,80.0
1653775468.1164353,5653,146.0
1653775479.7419853,5667,120.0
1653775497.3348248,5687,56.0
1653775514.3841197,5706,68.0
1653775519.6403663,5713,132.0
1653775528.2883868,5723,110.0
1653775534.4662354,5730,86.0
1653775543.3027697,5740,62.0
1653775552.9175558,5752,128.0
1653775555.5353267,5755,60.0
1653775557.6970208,5757,86.0
1653775559.3476841,5758,58.0
1653775571.5790603,5772,134.0
1653775579.9581528,5781,56.0
1653775587.2713687,5789,88.0
1653775625.5135288,5832,154.0
1653775656.2800682,5866,60.0
1653775668.3128433,5879,114.0
1653775669.9244993,5880,80.0
1653775671.953799,5882,78.0
1653775731.7072237,5948,178.0
1653775736.487942,5953,168.0
1653775738.9612958,5956,120.0
1653775745.8171136,5964,102.0
1653775761.9695625,5981,148.0
1653775769.442887,5990,56.0
1653775775.7872615,5997,66.0
1653775780.7881773,6003,102.0
1653775786.6997845,6009,-30.0
1653775787.1705256,6010,112.0
1653775820.5311453,6045,56.0
1653775828.0029645,6053,102.0
1653775849.1420255,6076,56.0
1653775850.1386938,6078,56.0
1653775851.6777105,6079,56.0
1653775877.7096775,6107,56.0
1653775880.972193,6111,90.0
1653775883.1751654,6113,150.0
1653775901.9048676,6133,122.0
1653775906.7050183,6138,98.0
1653775907.7130842,6140,116.0
1653775909.8285573,6142,126.0
1653775932.8946466,6168,150.0
1653775967.6231833,6205,114.0
1653775974.7291598,6211,200.0
1653775984.2621672,6221,100.0
1653775987.505738,6225,56.0
1653775991.5651107,6229,154.0
1653775997.2642825,6236,114.0
1653776004.0842462,6243,110.0
1653776011.309332,6251,136.0
1653776038.1797192,6279,174.0
1653776040.4496303,6281,168.0
1653776047.3560035,6288,152.0
1653776054.853772,6296,148.0
1653776055.3621373,6297,120.0
1653776057.9615529,6300,98.0
1653776071.839503,6314,56.0
1653776084.3921726,6328,80.0
1653776088.5441432,6332,114.0
1653776089.600405,6334,114.0
1653776101.4307547,6347,150.0
1653776112.292778,6358,142.0
1653776112.7721963,6359,128.0
1653776117.362618,6364,168.0
1653776119.4397466,6366,146.0
1653776121.9874403,6369,122.0
1653776156.0526414,6406,150.0
1653776173.0359752,6424,92.0
1653776191.8576682,6443,56.0
1653776196.996388,6449,30.0
1653776206.341102,6459,100.0
1653776218.8062005,6473,56.0
1653776235.2863078,6491,56.0
1653776237.871375,6494,56.0
1653776239.4233687,6495,128.0
1653776263.7408822,6522,182.0
1653776269.1373894,6528,96.0
1653776272.8485196,6531,100.0
1653776280.6248453,6540,162.0
1653776285.8823056,6546,60.0
1653776290.8025398,6551,98.0
1653776292.3928251,6552,88.0
1653776303.0048795,6564,90.0
1653776307.8549829,6569,134.0
1653776323.5980952,6585,56.0
1653776328.2405546,6590,56.0
1653776332.9057267,6595,118.0
1653776337.1294584,6599,56.0
1653776351.5360744,6615,116.0
1653776363.9442248,6629,142.0
1653776382.5036714,6649,128.0
1653776393.7643147,6661,94.0
1653776403.9408414,6673,62.0
1653776436.3433454,6708,94.0
1653776442.9650066,6715,118.0
1653776447.6807995,6720,56.0
1653776448.6842747,6722,62.0
1653776450.7644575,6724,56.0
1653776456.9993188,6730,56.0
1653776460.1169496,6734,62.0
1653776474.5837789,6750,162.0
1653776484.375751,6761,92.0
1653776486.5131195,6763,56.0
1653776498.4406939,6776,104.0
1653776507.1869953,6785,70.0
1653776522.108207,6802,140.0
1653776540.1561203,6821,186.0
1653776549.387028,6831,56.0
1653776554.468765,6837,64.0
1653776559.0641394,6842,68.0
1653776561.1597307,6844,82.0
1653776566.2311137,6850,168.0
1653776573.9383442,6859,56.0
1653776580.7879221,6866,56.0
1653776589.4710474,6875,94.0
1653776624.839793,6914,70.0
1653776625.8777995,6916,56.0
1653776629.5433016,6919,56.0
1653776639.354748,6930,56.0
1653776646.0897706,6937,56.0
1653776665.7457097,6959,56.0
1653776680.1084797,6975,94.0
1653776694.6819217,6991,56.0
1653776699.3338318,6996,56.0
1653776701.3361754,6998,212.0
1653776703.8656,7001,116.0
1653776714.8564005,7012,56.0
1653776720.2707067,7018,88.0
1653776729.8491886,7028,84.0
1653776730.4159644,7029,86.0
1653776744.8272545,7044,56.0
1653776752.61378,7053,56.0
1653776754.5419705,7054,92.0
1653776783.2986073,7087,56.0
1653776802.9091523,7110,94.0
1653776809.4104373,7117,56.0
1653776812.1685932,7120,132.0
1653776818.5083532,7126,56.0
1653776850.1671112,7164,134.0
1653776861.0690646,7177,56.0
1653776862.5191526,7178,70.0
1653776864.478809,7180,108.0
1653776869.3061142,7186,126.0
1653776871.6158874,7189,56.0
1653776886.835743,7207,100.0
1653776901.9768522,7225,94.0
1653776921.8484511,7249,56.0
1653776925.6083121,7253,66.0
1653776935.0240571,7265,56.0
1653776943.0930831,7274,56.0
1653776958.6938148,7293,56.0
1653776966.8160653,7302,56.0
1653776971.556506,7308,56.0
1653776994.5607378,7334,56.0
1653776998.8284717,7338,56.0
1653776999.7279842,7340,128.0
1653777011.7785385,7353,56.0
1653777013.766217,7355,56.0
1653777016.4953234,7358,56.0
1653777021.1553743,7363,56.0
1653777025.183798,7367,56.0
1653777033.8521593,7377,56.0
1653777040.5053172,7385,56.0
1653777066.9622824,7417,56.0
1653777073.239888,7424,56.0
1653777082.6540465,7435,56.0
1653777084.1318228,7436,64.0
1653777086.486732,7439,56.0
1653777088.8613076,7442,56.0
